EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
2748, 91, 572, 689, 3.07511167464052, 29, 7186, Lightning, 1, 1, 5, 5, 24.8711667012, 25.1916847500914, 203.51012435, NaN, 3.08, NaN, 746.541628924215, 644.692387921947, 0.214384317398071, 0.0116239066419305, 1253, 263, 1394, 
2749, 91, 777, 281, 2.06142735854362, 45, 4945, Accidental, 1, 1, 0, 0, 17.377035084, 17.5444071781473, 217.45915164, NaN, 2.06, NaN, 962.474455568819, 801.096984703839, 0.00999999977648258, 5.13655024902607E-11, 0, 346, 0, 
2750, 91, 502, 427, 7.61181626182974, 87, 7420, Lightning, 1, 1, 12, 22, 18.4641068916, 21.2996739371838, 269.85607911, NaN, 7.61, NaN, 916.21994182092, 731.283624965146, 0.280000001192093, 0.0620643866462159, 0, 338, 5461, 
2751, 91, 419, 311, 6.41354695981322, 104, 3372, Lightning, 1, 1, 28, 40, 8.731467378, 6.81594840368106, 179.2035856, NaN, 6.41, NaN, 808.152609520088, 612.937519738465, 0.214384317398071, 0.0946893502337095, 0, 505, 13861, 
2752, 91, 543, 674, 33.7765287779755, 133, 13228, Lightning, 1, 1, 14, 16, 15.1386482304, 16.20856180681, 333.9199501, NaN, 33.78, NaN, 753.05042542577, 653.256489446489, 0.214384317398071, 0.0656339458930107, 47, 345, 288, 
2753, 91, 770, 282, 30.190127386228, 137, 11733, Accidental, 1, 1, 1, 2, 15.343099326, 14.187876246401, 348.8338998, NaN, 30.19, NaN, 962.474455568819, 753.569084181643, 0.189999997615814, 0.000214299468001767, 209, 396, 199, 
2754, 91, 654, 738, 25.3241549439843, 147, 10091, Lightning, 1, 1, 14, 34, 9.5010389388, 12.945087214015, 265.13582225, NaN, 25.32, NaN, 797.884794201305, 691.721198881354, 0.214384317398071, 0.107916859658451, 1554, 250, 9944, 
2755, 91, 501, 957, 35.3597417740273, 168, 12503, Lightning, 1, 1, 9, 17, 11.8703493108, 11.7124235826568, 48.423892, NaN, 35.36, NaN, 850.493403208467, 722.825364415881, 0.214384317398071, 0.0680603981459073, 141, 343, 1001, 
2756, 91, 458, 919, 32.6499402698508, 176, 11027, Lightning, 1, 1, 8, 11, 10.1643726276, 8.83511323121967, 338.6446209, NaN, 32.65, NaN, 865.511474089106, 736.74252053945, 0.214384317398071, 0.0584918487349326, 29, 366, 181, 
2757, 91, 354, 822, 29.6784579378734, 182, 11001, Lightning, 1, 1, 17, 41, 8.4411252936, 11.8809510646541, 335.0618143, NaN, 29.68, NaN, 856.201872905204, 702.887393480822, 0.430000007152557, 0.107532698886314, 3650, 193, 8081, 
